Date,Close,High,Open,Market Cap,Volume,Low
"Feb 23, 2017",0.118724,0.122226,0.121958,"6,097,900","6,304",0.114699
"Feb 22, 2017",0.121959,0.124515,0.124515,"6,225,750","6,903",0.115683
"Feb 21, 2017",0.121561,0.127322,0.121400,"6,070,000","14,370",0.114101
"Feb 20, 2017",0.121475,0.127204,0.123001,"6,150,050","10,971",0.116679
"Feb 19, 2017",0.122905,0.124827,0.124522,"6,226,100","4,321",0.117671
"Feb 18, 2017",0.124431,0.130873,0.122901,"6,145,050","13,458",0.119005
"Feb 17, 2017",0.122661,0.130485,0.125972,"6,298,600","28,259",0.115022
"Feb 16, 2017",0.126088,0.126088,0.112739,"5,636,950","10,795",0.112574
"Feb 15, 2017",0.112729,0.120698,0.116744,"5,837,200","5,690",0.111437
"Feb 14, 2017",0.116603,0.121985,0.118339,"5,916,950","6,788",0.114384
"Feb 13, 2017",0.118286,0.137720,0.121530,"6,076,500","6,977",0.118105
"Feb 12, 2017",0.121566,0.137479,0.125493,"6,274,650","3,330",0.117401
"Feb 11, 2017",0.125607,0.127159,0.125788,"6,289,400",743,0.122483
"Feb 10, 2017",0.125761,0.131710,0.127540,"6,377,000","2,605",0.117976
"Feb 09, 2017",0.127476,0.132791,0.129684,"6,484,200","10,870",0.118249
"Feb 08, 2017",0.129568,0.134031,0.133244,"6,662,200","8,268",0.121542
"Feb 07, 2017",0.133135,0.136817,0.126972,"6,348,600","5,302",0.126972
"Feb 06, 2017",0.126788,0.138723,0.131717,"6,585,850","10,498",0.125146
"Feb 05, 2017",0.131582,0.143104,0.135944,"6,797,200","2,685",0.128306
"Feb 04, 2017",0.135867,0.147454,0.134385,"6,719,250","10,217",0.132960
"Feb 03, 2017",0.134264,0.145650,0.145650,"7,282,500","9,702",0.132985
