Date,Low,High,Close,Open,Market Cap,Volume
"Dec 19, 2016",790.32,793.61,792.71,790.69,"12,691,100,000","74,886,400"
"Dec 18, 2016",788.03,794.74,790.53,791.01,"12,694,800,000","60,524,400"
"Dec 17, 2016",784.86,792.51,790.83,785.17,"12,599,600,000","78,989,800"
"Dec 16, 2016",778.96,785.03,784.91,778.96,"12,498,800,000","83,608,200"
"Dec 15, 2016",777.80,781.43,778.09,780.07,"12,511,700,000","81,580,100"
"Dec 14, 2016",776.84,782.03,781.48,780.00,"12,512,900,000","75,979,000"
"Dec 13, 2016",777.96,788.46,780.56,780.65,"12,521,500,000","81,645,600"
"Dec 12, 2016",770.04,781.92,780.09,770.04,"12,349,800,000","76,571,000"
"Dec 11, 2016",765.41,774.80,769.73,774.75,"12,423,600,000","57,313,400"
"Dec 10, 2016",772.91,777.09,774.65,773.02,"12,394,500,000","53,843,100"
"Dec 09, 2016",769.65,774.53,772.79,769.94,"12,344,000,000","68,705,300"
"Dec 08, 2016",765.95,774.70,770.81,768.08,"12,312,500,000","80,111,900"
"Dec 07, 2016",759.75,771.54,768.13,764.21,"12,248,900,000","96,426,100"
"Dec 06, 2016",758.72,765.62,764.22,758.72,"12,159,400,000","116,218,000"
"Dec 05, 2016",751.71,773.47,758.70,773.39,"12,393,100,000","106,363,000"
"Dec 04, 2016",768.16,773.87,773.87,771.64,"12,363,600,000","60,557,900"
"Dec 03, 2016",764.86,778.25,771.15,778.25,"12,467,800,000","69,547,300"
"Dec 02, 2016",757.54,781.30,777.94,757.54,"12,134,800,000","127,605,000"
"Dec 01, 2016",746.05,758.27,756.77,746.05,"11,949,200,000","80,461,900"
"Nov 30, 2016",736.26,747.93,745.69,736.28,"11,791,600,000","84,070,800"
"Nov 29, 2016",734.56,737.47,735.60,736.33,"11,790,900,000","68,511,100"
"Nov 28, 2016",732.48,738.01,735.81,732.48,"11,727,800,000","61,888,600"
"Nov 27, 2016",731.09,739.02,732.03,735.44,"11,773,800,000","52,601,800"
"Nov 26, 2016",729.63,742.21,735.38,741.51,"11,869,600,000","54,962,700"
"Nov 25, 2016",734.59,741.65,741.65,740.44,"11,851,100,000","67,807,600"
"Nov 24, 2016",733.49,746.83,740.29,744.62,"11,916,500,000","85,919,300"
"Nov 23, 2016",738.92,752.25,744.59,751.74,"12,029,000,000","76,543,800"
"Nov 22, 2016",736.53,753.87,751.35,739.64,"11,834,200,000","129,906,000"
"Nov 21, 2016",730.51,741.72,739.25,731.26,"11,698,900,000","60,802,400"
"Nov 20, 2016",717.94,755.48,731.03,751.88,"12,027,500,000","154,116,000"
"Nov 19, 2016",744.47,756.24,751.62,751.83,"12,025,400,000","110,608,000"
"Nov 18, 2016",736.89,752.88,751.59,740.71,"11,846,000,000","87,363,100"
"Nov 17, 2016",739.51,755.64,740.98,744.88,"11,911,300,000","108,579,000"
"Nov 16, 2016",709.04,747.62,744.20,711.17,"11,370,700,000","141,294,000"
"Nov 15, 2016",705.26,715.72,711.62,705.79,"11,283,400,000","72,038,500"
